sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HG00271	male	SAME123417	FIN	Finnish	EUR	European Ancestry
HG00276	female	SAME123424	FIN	Finnish	EUR	European Ancestry
HG00288	female	SAME1839246	FIN	Finnish	EUR	European Ancestry
HG00290	male	SAME1839057	FIN	Finnish	EUR	European Ancestry
HG00303	male	SAME1840115	FIN	Finnish	EUR	European Ancestry
HG00308	male	SAME124161	FIN	Finnish	EUR	European Ancestry
HG00310	male	SAME124338	FIN	Finnish	EUR	European Ancestry
HG00315	female	SAME124335	FIN	Finnish	EUR	European Ancestry
HG00327	female	SAME123791	FIN	Finnish	EUR	European Ancestry
HG00334	female	SAME123981	FIN	Finnish	EUR	European Ancestry
HG00339	female	SAME123991	FIN	Finnish	EUR	European Ancestry
HG00341	male	SAME124922	FIN	Finnish	EUR	European Ancestry
HG00346	female	SAME125264	FIN	Finnish	EUR	European Ancestry
HG00353	female	SAME125120	FIN	Finnish	EUR	European Ancestry
HG00358	male	SAME125126	FIN	Finnish	EUR	European Ancestry
HG00360	male	SAME124539	FIN	Finnish	EUR	European Ancestry
HG00365	female	SAME124542	FIN	Finnish	EUR	European Ancestry
HG00372	male	SAME124748	FIN	Finnish	EUR	European Ancestry
HG00132	female	SAME123061	GBR	British	EUR	European Ancestry
HG00137	female	SAME123066	GBR	British	EUR	European Ancestry
HG00144	female	SAME124392	GBR	British	EUR	European Ancestry
HG00149	male	SAME124387	GBR	British	EUR	European Ancestry
HG00151	male	SAME124592	GBR	British	EUR	European Ancestry
HG00156	male	SAME123276	GBR	British	EUR	European Ancestry
HG00182	male	SAME123643	FIN	Finnish	EUR	European Ancestry
HG00187	male	SAME123646	FIN	Finnish	EUR	European Ancestry
HG00136	male	SAME123065	GBR	British	EUR	European Ancestry
HG00233	female	SAME124127	GBR	British	EUR	European Ancestry
HG00143	male	SAME124393	GBR	British	EUR	European Ancestry
HG00238	female	SAME124131	GBR	British	EUR	European Ancestry
HG00148	male	SAME124388	GBR	British	EUR	European Ancestry
HG00240	female	SAME123221	GBR	British	EUR	European Ancestry
HG00150	female	SAME124591	GBR	British	EUR	European Ancestry
HG00245	female	SAME123218	GBR	British	EUR	European Ancestry
HG00155	male	SAME124588	GBR	British	EUR	European Ancestry
HG00252	male	SAME123052	GBR	British	EUR	European Ancestry
HG00174	female	SAME124958	FIN	Finnish	EUR	European Ancestry
HG00257	female	SAME123047	GBR	British	EUR	European Ancestry
HG00179	female	SAME124965	FIN	Finnish	EUR	European Ancestry
HG00264	male	SAME123578	GBR	British	EUR	European Ancestry
HG00181	male	SAME123644	FIN	Finnish	EUR	European Ancestry
HG00269	female	SAME123575	FIN	Finnish	EUR	European Ancestry
HG00186	male	SAME123647	FIN	Finnish	EUR	European Ancestry
HG00377	female	SAME124752	FIN	Finnish	EUR	European Ancestry
HG00232	female	SAME124128	GBR	British	EUR	European Ancestry
HG00384	female	SAME123034	FIN	Finnish	EUR	European Ancestry
HG00237	female	SAME124124	GBR	British	EUR	European Ancestry
HG00404	female	SAME123158	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00244	male	SAME123217	GBR	British	EUR	European Ancestry
HG00409	male	SAME1840026	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00249	female	SAME123227	GBR	British	EUR	European Ancestry
HG00411	male	SAME1839726	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00251	male	SAME123053	GBR	British	EUR	European Ancestry
HG00423	female	SAME122810	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00256	male	SAME123048	GBR	British	EUR	European Ancestry
HG00428	female	SAME122811	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00263	female	SAME123581	GBR	British	EUR	European Ancestry
HG00442	male	SAME124912	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00268	female	SAME123574	FIN	Finnish	EUR	European Ancestry
HG00447	female	SAME124953	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00383	female	SAME123032	FIN	Finnish	EUR	European Ancestry
HG00459	male	SAME125269	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00403	male	SAME123160	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00473	female	SAME123338	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00408	female	SAME123155	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00098	male	SAME123272	GBR	British	EUR	European Ancestry
HG00410	female	SAME1839734	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00101	male	SAME125153	GBR	British	EUR	European Ancestry
HG00422	female	SAME122809	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00106	female	SAME123948	GBR	British	EUR	European Ancestry
HG00427	male	SAME122806	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00113	male	SAME125342	GBR	British	EUR	European Ancestry
HG00446	female	SAME123880	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00118	female	SAME125347	GBR	British	EUR	European Ancestry
HG00453	female	SAME123113	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00120	female	SAME122874	GBR	British	EUR	European Ancestry
HG00458	female	SAME125278	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00125	female	SAME122869	GBR	British	EUR	European Ancestry
HG00465	male	SAME123498	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00472	male	SAME123339	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00270	female	SAME123418	FIN	Finnish	EUR	European Ancestry
HG00275	female	SAME123421	FIN	Finnish	EUR	European Ancestry
HG00282	female	SAME122833	FIN	Finnish	EUR	European Ancestry
HG00302	female	SAME1840121	FIN	Finnish	EUR	European Ancestry
HG00319	female	SAME124334	FIN	Finnish	EUR	European Ancestry
HG00478	male	SAME123335	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00321	male	SAME123796	FIN	Finnish	EUR	European Ancestry
HG00480	male	SAME124617	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00326	female	SAME123792	FIN	Finnish	EUR	European Ancestry
HG00500	male	SAME123363	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00338	male	SAME123990	FIN	Finnish	EUR	European Ancestry
HG00512	male	SAME123525	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00345	male	SAME124919	FIN	Finnish	EUR	European Ancestry
HG00524	male	SAME123724	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00357	female	SAME125124	FIN	Finnish	EUR	European Ancestry
HG00531	female	SAME125381	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00364	female	SAME124543	FIN	Finnish	EUR	European Ancestry
HG00536	male	SAME124344	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00369	male	SAME124534	FIN	Finnish	EUR	European Ancestry
HG00543	female	SAME122857	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00371	male	SAME124747	FIN	Finnish	EUR	European Ancestry
HG00555	female	SAME122856	PUR	Puerto Rican	AMR	American Ancestry
HG00376	female	SAME124751	FIN	Finnish	EUR	European Ancestry
HG00567	male	SAME124453	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00097	female	SAME123267	GBR	British	EUR	European Ancestry
HG00579	female	SAME123530	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00100	female	SAME125154	GBR	British	EUR	European Ancestry
HG00581	female	SAME124831	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00105	male	SAME123949	GBR	British	EUR	European Ancestry
HG00733	female	SAME125399	PUR	Puerto Rican	AMR	American Ancestry
HG00112	male	SAME125341	GBR	British	EUR	European Ancestry
HG00738	male	SAME125368	PUR	Puerto Rican	AMR	American Ancestry
HG00117	male	SAME125346	GBR	British	EUR	European Ancestry
HG00740	female	SAME124834	PUR	Puerto Rican	AMR	American Ancestry
HG00124	female	SAME122870	GBR	British	EUR	European Ancestry
HG00978	female	SAME124727	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00129	male	SAME122867	GBR	British	EUR	European Ancestry
HG01142	male	SAME1839731	CLM	Colombian	AMR	American Ancestry
HG00131	male	SAME123064	GBR	British	EUR	European Ancestry
HG01161	male	SAME1839615	PUR	Puerto Rican	AMR	American Ancestry
HG01173	male	SAME124624	PUR	Puerto Rican	AMR	American Ancestry
HG01178	male	SAME124616	PUR	Puerto Rican	AMR	American Ancestry
HG01192	male	SAME124298	PUR	Puerto Rican	AMR	American Ancestry
HG01197	male	SAME124237	PUR	Puerto Rican	AMR	American Ancestry
HG01200	male	SAME1840109	PUR	Puerto Rican	AMR	American Ancestry
HG00477	male	SAME123340	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01205	female	SAME124296	PUR	Puerto Rican	AMR	American Ancestry
HG00530	male	SAME124356	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01243	male	SAME125063	PUR	Puerto Rican	AMR	American Ancestry
HG00535	male	SAME124348	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01248	female	SAME125058	PUR	Puerto Rican	AMR	American Ancestry
HG00542	male	SAME124352	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01250	male	SAME125281	CLM	Colombian	AMR	American Ancestry
HG00554	female	SAME123969	PUR	Puerto Rican	AMR	American Ancestry
HG00651	female	SAME123966	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00559	male	SAME124248	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00656	male	SAME123233	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00561	female	SAME124455	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00663	female	SAME123813	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00566	female	SAME125048	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00675	female	SAME1840076	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00578	female	SAME123528	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00694	male	SAME123154	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00580	male	SAME124832	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00699	female	SAME123165	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00585	female	SAME124722	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00702	female	SAME122934	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00718	male	SAME123114	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00707	male	SAME122929	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00732	female	SAME125396	PUR	Puerto Rican	AMR	American Ancestry
HG00593	female	SAME125012	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00737	female	SAME125416	PUR	Puerto Rican	AMR	American Ancestry
HG00598	male	SAME1839713	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00864	female	SAME123547	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00613	male	SAME125196	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00650	male	SAME123254	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00620	female	SAME123081	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00655	female	SAME123257	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00625	male	SAME123080	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00662	male	SAME123812	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00632	female	SAME1839151	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00674	male	SAME1840080	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00637	male	SAME123710	PUR	Puerto Rican	AMR	American Ancestry
HG00693	female	SAME123683	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01089	female	SAME1839432	PUR	Puerto Rican	AMR	American Ancestry
HG00698	male	SAME123693	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01096	male	SAME123776	PUR	Puerto Rican	AMR	American Ancestry
HG00701	male	SAME122931	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01104	male	SAME123672	PUR	Puerto Rican	AMR	American Ancestry
HG00706	male	SAME122930	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01109	male	SAME123669	PUR	Puerto Rican	AMR	American Ancestry
HG01141	female	SAME124423	CLM	Colombian	AMR	American Ancestry
HG01111	female	SAME123486	PUR	Puerto Rican	AMR	American Ancestry
HG01172	male	SAME124625	PUR	Puerto Rican	AMR	American Ancestry
HG01123	female	SAME1840204	CLM	Colombian	AMR	American Ancestry
HG01177	female	SAME124620	PUR	Puerto Rican	AMR	American Ancestry
HG01130	male	SAME1839995	CLM	Colombian	AMR	American Ancestry
HG01184	female	SAME124321	PUR	Puerto Rican	AMR	American Ancestry
HG01135	male	SAME123886	CLM	Colombian	AMR	American Ancestry
HG01189	male	SAME124878	PUR	Puerto Rican	AMR	American Ancestry
HG01046	female	SAME123167	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01191	female	SAME123651	PUR	Puerto Rican	AMR	American Ancestry
HG01053	female	SAME124866	PUR	Puerto Rican	AMR	American Ancestry
HG01204	male	SAME124297	PUR	Puerto Rican	AMR	American Ancestry
HG01058	female	SAME1840086	PUR	Puerto Rican	AMR	American Ancestry
HG01242	female	SAME125064	PUR	Puerto Rican	AMR	American Ancestry
HG01060	male	SAME123015	PUR	Puerto Rican	AMR	American Ancestry
HG01247	male	SAME125067	PUR	Puerto Rican	AMR	American Ancestry
HG01072	male	SAME124091	PUR	Puerto Rican	AMR	American Ancestry
HG01088	male	SAME1839361	PUR	Puerto Rican	AMR	American Ancestry
HG01077	female	SAME1839581	PUR	Puerto Rican	AMR	American Ancestry
HG01090	male	SAME1839510	PUR	Puerto Rican	AMR	American Ancestry
HG01084	female	SAME125392	PUR	Puerto Rican	AMR	American Ancestry
HG01095	female	SAME122926	PUR	Puerto Rican	AMR	American Ancestry
HG01325	male	SAME1839604	PUR	Puerto Rican	AMR	American Ancestry
HG01103	female	SAME123679	PUR	Puerto Rican	AMR	American Ancestry
HG01344	male	SAME124862	CLM	Colombian	AMR	American Ancestry
HG01108	female	SAME123103	PUR	Puerto Rican	AMR	American Ancestry
HG01349	female	SAME124865	CLM	Colombian	AMR	American Ancestry
HG01110	male	SAME123487	PUR	Puerto Rican	AMR	American Ancestry
HG01351	female	SAME124683	CLM	Colombian	AMR	American Ancestry
HG01122	female	SAME1840203	CLM	Colombian	AMR	American Ancestry
HG01356	male	SAME124682	CLM	Colombian	AMR	American Ancestry
HG01134	female	SAME123887	CLM	Colombian	AMR	American Ancestry
HG01363	female	SAME1839059	CLM	Colombian	AMR	American Ancestry
HG01139	male	SAME123876	CLM	Colombian	AMR	American Ancestry
HG01255	male	SAME125286	CLM	Colombian	AMR	American Ancestry
HG00592	male	SAME125011	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01274	male	SAME123001	CLM	Colombian	AMR	American Ancestry
HG00597	female	SAME125008	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01279	female	SAME123004	CLM	Colombian	AMR	American Ancestry
HG00600	female	SAME1839392	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01281	female	SAME1839107	CLM	Colombian	AMR	American Ancestry
HG00612	female	SAME125197	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01286	male	SAME1839176	PUR	Puerto Rican	AMR	American Ancestry
HG00624	male	SAME1839274	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01301	female	SAME1840050	PUR	Puerto Rican	AMR	American Ancestry
HG00629	female	SAME123086	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01414	female	SAME1839703	PUR	Puerto Rican	AMR	American Ancestry
HG00631	male	SAME1839060	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01433	male	SAME1839252	CLM	Colombian	AMR	American Ancestry
HG00636	male	SAME123711	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01438	female	SAME124971	CLM	Colombian	AMR	American Ancestry
HG01312	female	SAME1839791	PUR	Puerto Rican	AMR	American Ancestry
HG01440	male	SAME123237	CLM	Colombian	AMR	American Ancestry
HG01324	female	SAME1839523	PUR	Puerto Rican	AMR	American Ancestry
HG01445	male	SAME1839015	CLM	Colombian	AMR	American Ancestry
HG01343	female	SAME124857	CLM	Colombian	AMR	American Ancestry
HG01452	male	SAME1839158	CLM	Colombian	AMR	American Ancestry
HG01348	female	SAME124864	CLM	Colombian	AMR	American Ancestry
HG01457	male	SAME123428	CLM	Colombian	AMR	American Ancestry
HG01350	male	SAME124684	CLM	Colombian	AMR	American Ancestry
HG01464	male	SAME122883	CLM	Colombian	AMR	American Ancestry
HG01355	female	SAME124679	CLM	Colombian	AMR	American Ancestry
HG01503	male	SAME124944	IBS	Iberian	EUR	European Ancestry
HG01362	male	SAME1839066	CLM	Colombian	AMR	American Ancestry
HG01508	male	SAME124939	IBS	Iberian	EUR	European Ancestry
HG01367	female	SAME125266	CLM	Colombian	AMR	American Ancestry
HG01510	female	SAME124771	IBS	Iberian	EUR	European Ancestry
HG01254	female	SAME125285	CLM	Colombian	AMR	American Ancestry
HG01515	male	SAME124774	IBS	Iberian	EUR	European Ancestry
HG01259	male	SAME125280	CLM	Colombian	AMR	American Ancestry
HG01522	female	SAME125321	IBS	Iberian	EUR	European Ancestry
HG01261	male	SAME122814	CLM	Colombian	AMR	American Ancestry
HG01527	male	SAME125326	IBS	Iberian	EUR	European Ancestry
HG01273	male	SAME124046	CLM	Colombian	AMR	American Ancestry
HG01596	male	SAME125227	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01278	female	SAME123003	CLM	Colombian	AMR	American Ancestry
HG01604	female	SAME123460	IBS	Iberian	EUR	European Ancestry
HG01280	male	SAME1839113	CLM	Colombian	AMR	American Ancestry
HG01609	male	SAME123461	IBS	Iberian	EUR	European Ancestry
HG01305	male	SAME1840020	PUR	Puerto Rican	AMR	American Ancestry
HG01611	male	SAME123624	IBS	Iberian	EUR	European Ancestry
HG01052	female	SAME123368	PUR	Puerto Rican	AMR	American Ancestry
HG01565	male	SAME124566	PEL	Peruvian	AMR	American Ancestry
HG01064	female	SAME1839759	PUR	Puerto Rican	AMR	American Ancestry
HG01572	female	SAME124705	PEL	Peruvian	AMR	American Ancestry
HG01069	male	SAME122825	PUR	Puerto Rican	AMR	American Ancestry
HG01577	male	SAME124349	PEL	Peruvian	AMR	American Ancestry
HG01071	female	SAME123009	PUR	Puerto Rican	AMR	American Ancestry
HG01589	male	SAME1839859	PJL	Punjabi	SAS	South Asian Ancestry
HG01083	female	SAME125397	PUR	Puerto Rican	AMR	American Ancestry
HG01471	female	SAME1840197	CLM	Colombian	AMR	American Ancestry
HG01538	female	SAME125141	IBS	Iberian	EUR	European Ancestry
HG01483	female	SAME1839962	CLM	Colombian	AMR	American Ancestry
HG01552	male	SAME124007	CLM	Colombian	AMR	American Ancestry
HG01488	male	SAME123973	CLM	Colombian	AMR	American Ancestry
HG01571	male	SAME124346	PEL	Peruvian	AMR	American Ancestry
HG01490	female	SAME124139	CLM	Colombian	AMR	American Ancestry
HG01583	male	SAME1839895	PJL	Punjabi	SAS	South Asian Ancestry
HG01495	female	SAME124136	CLM	Colombian	AMR	American Ancestry
HG01590	female	SAME1839651	PJL	Punjabi	SAS	South Asian Ancestry
HG01616	female	SAME123629	IBS	Iberian	EUR	European Ancestry
HG01413	male	SAME1839612	PUR	Puerto Rican	AMR	American Ancestry
HG01623	female	SAME123845	IBS	Iberian	EUR	European Ancestry
HG01432	female	SAME1839256	CLM	Colombian	AMR	American Ancestry
HG01628	female	SAME123837	IBS	Iberian	EUR	European Ancestry
HG01437	male	SAME124966	CLM	Colombian	AMR	American Ancestry
HG01630	male	SAME124034	IBS	Iberian	EUR	European Ancestry
HG01444	female	SAME1839026	CLM	Colombian	AMR	American Ancestry
HG01673	female	SAME123289	IBS	Iberian	EUR	European Ancestry
HG01456	female	SAME123427	CLM	Colombian	AMR	American Ancestry
HG01678	male	SAME123292	IBS	Iberian	EUR	European Ancestry
HG01463	female	SAME123537	CLM	Colombian	AMR	American Ancestry
HG01680	male	SAME124656	IBS	Iberian	EUR	European Ancestry
HG01502	male	SAME124943	IBS	Iberian	EUR	European Ancestry
HG01685	female	SAME124659	IBS	Iberian	EUR	European Ancestry
HG01507	female	SAME124948	IBS	Iberian	EUR	European Ancestry
HG01697	female	SAME1839223	IBS	Iberian	EUR	European Ancestry
HG01514	female	SAME124775	IBS	Iberian	EUR	European Ancestry
HG01700	male	SAME123261	IBS	Iberian	EUR	European Ancestry
HG01519	female	SAME124765	IBS	Iberian	EUR	European Ancestry
HG01375	female	SAME124290	CLM	Colombian	AMR	American Ancestry
HG01521	male	SAME125324	IBS	Iberian	EUR	European Ancestry
HG01394	female	SAME1840219	PUR	Puerto Rican	AMR	American Ancestry
HG01526	male	SAME125325	IBS	Iberian	EUR	European Ancestry
HG01402	male	SAME1839873	PUR	Puerto Rican	AMR	American Ancestry
HG01704	female	SAME123265	IBS	Iberian	EUR	European Ancestry
HG01705	male	SAME123266	IBS	Iberian	EUR	European Ancestry
HG01709	male	SAME123229	IBS	Iberian	EUR	European Ancestry
HG01748	male	SAME125191	IBS	Iberian	EUR	European Ancestry
HG01711	female	SAME123083	IBS	Iberian	EUR	European Ancestry
HG01755	female	SAME124986	IBS	Iberian	EUR	European Ancestry
HG01747	male	SAME125181	IBS	Iberian	EUR	European Ancestry
HG01762	female	SAME124811	IBS	Iberian	EUR	European Ancestry
HG01761	male	SAME124810	IBS	Iberian	EUR	European Ancestry
HG02006	female	SAME1840279	PEL	Peruvian	AMR	American Ancestry
HG01766	female	SAME1839673	IBS	Iberian	EUR	European Ancestry
HG02013	male	SAME1840396	ACB	African Caribbean	AFR	African Ancestry
HG01374	male	SAME124291	CLM	Colombian	AMR	American Ancestry
HG02018	female	SAME123451	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01379	female	SAME124283	CLM	Colombian	AMR	American Ancestry
HG02020	male	SAME125168	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01393	female	SAME1840222	PUR	Puerto Rican	AMR	American Ancestry
HG02025	female	SAME125335	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01398	male	SAME1839950	PUR	Puerto Rican	AMR	American Ancestry
HG02032	male	SAME1839959	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01468	female	SAME1840382	CLM	Colombian	AMR	American Ancestry
HG02049	female	SAME123773	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01482	male	SAME1839969	CLM	Colombian	AMR	American Ancestry
HG02051	male	SAME1839549	ACB	African Caribbean	AFR	African Ancestry
HG01487	female	SAME1840042	CLM	Colombian	AMR	American Ancestry
HG02056	male	SAME124162	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01494	male	SAME124135	CLM	Colombian	AMR	American Ancestry
HG02068	female	SAME123374	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01499	male	SAME124143	CLM	Colombian	AMR	American Ancestry
HG02070	male	SAME124908	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01595	female	SAME123569	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02075	female	SAME123106	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01603	male	SAME123453	IBS	Iberian	EUR	European Ancestry
HG01863	female	SAME123198	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01608	male	SAME123462	IBS	Iberian	EUR	European Ancestry
HG01868	female	SAME123193	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01610	male	SAME123623	IBS	Iberian	EUR	European Ancestry
HG01870	female	SAME123397	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01615	male	SAME123628	IBS	Iberian	EUR	European Ancestry
HG01882	male	SAME122849	ACB	African Caribbean	AFR	African Ancestry
HG01622	female	SAME123846	IBS	Iberian	EUR	European Ancestry
HG01887	male	SAME122846	ACB	African Caribbean	AFR	African Ancestry
HG01627	male	SAME123841	IBS	Iberian	EUR	European Ancestry
HG01894	female	SAME1840357	ACB	African Caribbean	AFR	African Ancestry
HG01672	male	SAME123288	IBS	Iberian	EUR	European Ancestry
HG01914	male	SAME1839768	ACB	African Caribbean	AFR	African Ancestry
HG01677	female	SAME123285	IBS	Iberian	EUR	European Ancestry
HG01919	female	SAME123239	PEL	Peruvian	AMR	American Ancestry
HG01684	female	SAME124660	IBS	Iberian	EUR	European Ancestry
HG01921	female	SAME123790	PEL	Peruvian	AMR	American Ancestry
HG01696	male	SAME124715	IBS	Iberian	EUR	European Ancestry
HG01926	male	SAME123783	PEL	Peruvian	AMR	American Ancestry
HG02012	female	SAME1840403	ACB	African Caribbean	AFR	African Ancestry
HG01933	female	SAME123586	PEL	Peruvian	AMR	American Ancestry
HG02017	male	SAME123445	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01938	male	SAME123593	PEL	Peruvian	AMR	American Ancestry
HG02024	female	SAME125182	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01940	female	SAME124148	PEL	Peruvian	AMR	American Ancestry
HG02029	male	SAME124021	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01945	female	SAME124153	PEL	Peruvian	AMR	American Ancestry
HG02031	female	SAME1839964	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01767	male	SAME1839671	IBS	Iberian	EUR	European Ancestry
HG02048	female	SAME123772	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01774	male	SAME124634	IBS	Iberian	EUR	European Ancestry
HG02050	male	SAME1839555	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01779	female	SAME124629	IBS	Iberian	EUR	European Ancestry
HG02055	male	SAME1839531	ACB	African Caribbean	AFR	African Ancestry
HG01781	male	SAME124921	IBS	Iberian	EUR	European Ancestry
HG02067	male	SAME1839388	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01786	female	SAME1839312	IBS	Iberian	EUR	European Ancestry
HG02074	male	SAME123107	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01983	female	SAME1840106	PEL	Peruvian	AMR	American Ancestry
HG02079	male	SAME123098	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01988	male	SAME1840175	ACB	African Caribbean	AFR	African Ancestry
HG01949	female	SAME124145	PEL	Peruvian	AMR	American Ancestry
HG01990	male	SAME1840235	ACB	African Caribbean	AFR	African Ancestry
HG01951	female	SAME123976	PEL	Peruvian	AMR	American Ancestry
HG01995	female	SAME1839958	PEL	Peruvian	AMR	American Ancestry
HG01956	female	SAME123978	ACB	African Caribbean	AFR	African Ancestry
HG01952	male	SAME123975	PEL	Peruvian	AMR	American Ancestry
HG01968	female	SAME124532	PEL	Peruvian	AMR	American Ancestry
HG01969	female	SAME124533	PEL	Peruvian	AMR	American Ancestry
HG01970	male	SAME124327	PEL	Peruvian	AMR	American Ancestry
HG01971	female	SAME124326	PEL	Peruvian	AMR	American Ancestry
HG01975	female	SAME124322	PEL	Peruvian	AMR	American Ancestry
HG01976	female	SAME124325	PEL	Peruvian	AMR	American Ancestry
HG01862	female	SAME123199	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01798	female	SAME124228	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01867	male	SAME123194	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01801	female	SAME124305	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01874	female	SAME123396	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01806	female	SAME124304	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01879	male	SAME1839037	ACB	African Caribbean	AFR	African Ancestry
HG01813	female	SAME124518	CDX	Dai Chinese	EAS	East Asian Ancestry
